run_name,coherence,hallucination,perplexity,learning_rate,batch_size,epochs,max_input_len,score
learning_rate_3e-05,0.6127491171361281,0.2848535719095321,3.7907495498657227,3e-05,4,2,256,0.2899880497279388
learning_rate_0.0001,0.43249895879594835,0.2490548524821812,2.494520664215088,0.0001,4,2,256,0.15849889967161626
learning_rate_0.0003,0.39167693512213225,0.24423572178760097,2.691462755203247,0.0003,4,2,256,0.12052658578249881
batch_size_2,0.458899987449127,0.24736157839374448,3.347588062286377,0.0001,2,2,256,0.17806252843251877
batch_size_4,0.43249895879594835,0.2490548524821812,2.494520664215088,0.0001,4,2,256,0.15849889967161626
batch_size_8,0.598454808749915,0.26030913707279935,2.9915354251861572,0.0001,8,2,256,0.30823031742525403
epochs_1,0.5404017925025252,0.25210357830016583,2.888249397277832,0.0001,4,1,256,0.25941572022958104
epochs_2,0.43249895879594835,0.2490548524821812,2.494520664215088,0.0001,4,2,256,0.15849889967161626
epochs_3,0.4084386687533009,0.2419563167692018,3.1406896114349365,0.0001,4,3,256,0.13507545586974978
max_input_len_128,0.4358422208222884,0.241032849486114,3.168292999267578,0.0001,4,2,128,0.16312644134349863
max_input_len_256,0.43249895879594835,0.2490548524821812,2.494520664215088,0.0001,4,2,256,0.15849889967161626
max_input_len_384,0.4715627363078314,0.24742066425253653,3.7146873474121094,0.0001,4,2,384,0.18699519858117378
